ID,kana,name,cateID
1,ｱﾗｲﾄﾞ,(株)ｱﾗｲﾄﾞｺﾝﾄﾛｰﾙ,3
2,ｱﾗｷ,ｱﾗｷ(株),3
3,ｱﾗﾊﾞﾝ,(株)荒鈑,2
4,ｲｰﾛｯｸｼﾞｬﾊﾟﾝ,(株)ｲｰﾛｯｸｼﾞｬﾊﾟﾝ,3
5,ｳｶﾞｼﾞﾝｾｲｻｸｼｮ,(株)宇賀神製作所,2
6,ｴｽｺ,ｴｽｺ(株),2
7,ｵｶﾀﾞﾃﾞﾝｷｻﾝｷﾞｮｳ,岡田電気産業(株),2
8,ｶﾇﾏﾗｼ,鹿沼螺子,2
9,ｷｰｴﾝｽ,(株)ｷｰｴﾝｽ,2
10,ｷﾞﾌﾍﾞﾙﾄ,(株)岐阜ﾍﾞﾙﾄ,2
11,ｷｮｳﾘﾂﾃﾞﾝｷｶﾌﾞ,協立電機(株),3
12,ｺﾏﾃﾞﾝ,(有)ｺﾏﾃﾞﾝ,2
13,ｻｶﾞﾜｷｭｳﾋﾞﾝ,佐川急便(株),11
14,ｼﾞｰﾃｸﾉ,(株)ｼﾞｰﾃｸﾉ,2
15,ｽｽﾞﾃﾞﾝ,ｽｽﾞﾃﾞﾝ(株),3
16,ｽｷﾞﾓﾄﾃﾞﾝｷｻﾝｷﾞｮｳ,杉本電機産業(株),3
17,ｽﾁｰﾙｺｳｷﾞｮｳ,ｽﾁｰﾙ工業,3
18,ﾄｰｶｲ,(株)ﾄｰｶｲ,2
19,ﾀﾞｲﾄｷｶｲ,大都機械(株),2
20,ﾄｰｹﾐ,(株)ﾄｰｹﾐ,2
21,ﾄｰﾀﾙｴﾝｼﾞﾆｱﾘﾝｸﾞ・ｵｶﾞﾜ,(有)ﾄｰﾀﾙｴﾝｼﾞﾆｱﾘﾝｸﾞ・小川,3
22,ﾄﾞｲﾃﾞﾝｷ,(有)土井電機,3
23,ﾆｲｶﾞﾀｾｲｷﾞｮ,にいがた制御(株),3
24,ﾆｯｿｳﾃﾞﾝｾﾂ,(有)ﾆｯｿｳ電設,3
25,ﾆﾎﾝｻｰｷｯﾄﾎﾞｰﾄﾞ,(有)日本ｻｰｷｯﾄﾎﾞｰﾄﾞ,3
26,ﾆﾎﾝｿｯｷ,日本測器(株),2
27,ﾌｸﾀﾞｺｳｷﾞｮｳ,福田工業,2
28,ﾌｸﾅｶﾞﾃﾞﾝｷﾞｮｳ,(有)福永電業,2
29,ﾎｼﾓﾄ,(株)ﾎｼﾓﾄ,2
30,ﾏﾂﾔﾏﾃﾞﾝｾﾂ,(有)松山電設,3
31,ﾏﾙﾂｴﾚｯｸ,ﾏﾙﾂｴﾚｯｸ(株),2
32,ﾐｳﾗﾃﾞﾝｷｺｳｼﾞ,(有)三浦電気工事,3
33,ﾐｽﾐ,(株)ﾐｽﾐ,2
34,ﾔﾏﾄｳﾝﾕ,ﾔﾏﾄ運輸(株),11
35,ﾔﾏﾅｶ,(株)ﾔﾏﾅｶ,2
36,ﾕﾆﾊﾟﾙｽ,ﾕﾆﾊﾟﾙｽ(株),2
37,ﾜﾀﾞｺｳｷﾞｮｳ,和田工業,3
38,ｱｰﾙｴｽｺﾝﾎﾟｰﾈﾝﾄ,RSｺﾝﾎﾟｰﾈﾝﾄ,3
39,ｿﾉﾀ,その他,3
40,ﾌｸﾀﾞﾐｿｶｺｳｼﾞｮ,福田味噌加工所,3
41,－－－,(SPACE),0
42,－－－,(SPACE),0
43,－－－,(SPACE),0
44,－－－,(SPACE),0
45,－－－,(SPACE),0
46,－－－,(SPACE),0
47,－－－,(SPACE),0
48,－－－,(SPACE),0
49,ﾂｳﾊﾝ,通販,4
50,ｺｳｿkﾘｮｳｷﾝ,高速料金,5
51,ｶﾞｿﾘﾝﾀﾞｲ,ｶﾞｿﾘﾝ代,5
52,ﾃﾞﾝｼｬﾁﾝ,電車賃,5
53,ｺｳｸｳｹﾝ,航空券,5
54,ｼｭｸﾊｸﾋ,宿泊費,6
55,ﾚﾝﾀﾙﾘｮｳ,ﾆｯｹﾝ,7
56,ﾂｳｼﾝﾘｮｳ,"NTT Docomo",8
57,ﾐﾔｺﾎｰﾙﾃﾞｨﾝｸﾞ,ﾐﾔｺﾎｰﾙﾃﾞｨﾝｸﾞ,9
58,ｷｸﾏﾄｼｵ,菊間登志雄(家賃),9
59,ﾖｺﾊﾏｿｳｺ,横浜倉庫,9
60,ﾋﾛﾀｱｷｺ,ﾋﾛﾀｱｷｺ,9
61,ﾔｼｵﾄﾁｶｲﾊﾂ,八潮土地開発,9
62,ﾚｵﾊﾟﾚｽ,ﾚｵﾊﾟﾚｽ,9
63,ﾃﾝﾎﾟｱｯﾌﾟ,ﾃﾝﾎﾟｱｯﾌﾟ,9
64,ｲﾜﾀ,岩田,9
65,ﾐﾊﾙｼﾞｮｳﾎｳｾﾝﾀｰ,三春情報ｾﾝﾀｰ,9
66,－－－,(SPACE),0
67,－－－,(SPACE),0
68,－－－,(SPACE),0
69,－－－,(SPACE),0
70,ｶﾅｶﾞﾜｹﾝｾﾂﾕﾆｵﾝ,神奈川建設ﾕﾆｵﾝ,10
71,ｺｳｾｲﾎｹﾝ,厚生保険,10
72,ﾛｳﾄﾞｳﾎｹﾝ,労働保険,10
73,ｿﾝﾎﾟｼﾞｬﾊﾟﾝ,損保ｼﾞｬﾊﾟﾝ,10
74,ｾﾞｲｷﾝ･ｺｳｷﾝ,税金･公金,10
75,ｶｲｹｲ,税理士,10
76,ｴｽｴﾑﾋﾞｰｼｰﾌｧｲﾅﾝｽ,SMBCﾌｧｲﾅﾝｽ,10
77,ｴｰｱｲﾕｰｿﾝｶﾞｲﾎｹﾝ,AIU損保,10
78,ｱﾝｼﾝｻﾞｲﾀﾞﾝ,財)あんしん財団,10
79,ﾀﾞｲﾄﾞｳｾｲﾒｲ,大同生命,10
80,ｼｶｸｼｭﾄｸ,資格取得,10
81,ﾋﾟｰｲｰﾐﾂｲｽﾐﾄﾓｶｲｼﾞｮｳ,PE三井住友海上,10
82,－－－,(SPACE),0
83,－－－,(SPACE),0
84,－－－,(SPACE),0
85,－－－,(SPACE),0
86,－－－,(SPACE),0
87,－－－,(SPACE),0
88,－－－,(SPACE),0
89,－－－,(SPACE),0
90,ﾅｶｼﾞﾏ,中嶋春生,1
91,ｵｵﾄﾓｱｷﾗ,大友明,1
92,ｲｲﾑﾗｷﾖｼ,飯村清,1
93,ｴﾝﾄﾞｳｼﾞｭﾝｲﾁﾛｳ,遠藤潤一郎,1
94,ｵｵｶﾜｶﾂﾐ,大川勝美,1
95,ｹｰﾃｨｴﾑﾃｨｰ,KTMT,1
96,ｲｼｶﾜｴｲｾﾞﾝ,石川営繕,1
97,ｱｲｼﾞｰﾕｰ,ｱｲｼﾞｰﾕｰ,1
98,ﾐﾖｷｱｷﾗ,三與木輝,1
99,ｿﾉﾀ,その他,1
100,ﾉｱｲﾕｶ,野間由佳,1
101,ﾀﾏﾀﾞｺｳｲﾁ,玉田貢一,1
102,ﾀﾏﾀﾞﾅｵｺ,玉田奈緒子,1
103,－－－,(SPACE),0
104,－－－,(SPACE),0
116,－－－,(SPACE),0
117,－－－,(SPACE),0
118,－－－,(SPACE),0
119,－－－,(SPACE),0
120,ﾎﾝﾀﾞｶｰｽﾞ,ﾎﾝﾀﾞｶｰｽﾞ,12
121,ﾆｯｻﾝ,日産,12
122,－－－,(SPACE),0
123,－－－,(SPACE),0
124,－－－,(SPACE),0
125,－－－,(SPACE),0
126,－－－,(SPACE),0
127,－－－,(SPACE),0
